customerid,is_male,is_senior,has_partner,has_dependents,tenure,has_phone_service,has_multiple_lines,internetservice,has_internet,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,is_paperless,paymentmethod,monthlycharges,totalcharges,churn
3307-TLCUD,t,f,t,f,17,f,,DSL,t,Yes,No,Yes,No,No,No,Month-to-month,f,Mailed check,34.40,592.75,f
6625-FLENO,t,f,t,f,58,t,f,No,f,,,,,,,Two year,f,Mailed check,20.75,1185.95,f
2967-MXRAV,t,f,t,t,1,t,f,No,f,,,,,,,One year,f,Mailed check,18.80,18.80,f
7963-GQRMY,f,f,t,t,3,t,f,DSL,t,No,No,No,No,No,No,Month-to-month,f,Mailed check,44.30,134.50,t
8189-HBVRW,f,f,f,f,53,t,t,Fiber optic,t,Yes,Yes,Yes,No,No,No,Month-to-month,f,Electronic check,90.80,4921.20,f
4163-KIUHY,t,f,f,f,35,t,t,No,f,,,,,,,Month-to-month,t,Electronic check,25.60,901.25,f
1228-FZFRV,t,f,t,t,50,t,t,Fiber optic,t,Yes,No,Yes,No,Yes,Yes,Month-to-month,f,Credit card (automatic),105.95,5341.80,t
3500-NSDOA,t,f,t,t,68,t,t,DSL,t,No,Yes,No,Yes,No,Yes,Two year,f,Credit card (automatic),70.80,4859.95,f
1171-TYKUR,t,f,t,f,47,t,t,No,f,,,,,,,Month-to-month,f,Electronic check,25.40,1139.20,f
3761-FLYZI,f,t,t,f,65,t,t,Fiber optic,t,No,Yes,Yes,No,Yes,Yes,Month-to-month,t,Bank transfer (automatic),108.80,7082.45,f
2058-DCJBE,t,f,f,f,5,t,f,Fiber optic,t,No,No,No,No,No,No,Month-to-month,t,Electronic check,69.75,324.60,t
5364-XYIRR,t,f,t,f,51,t,t,Fiber optic,t,No,No,No,No,Yes,Yes,Month-to-month,t,Electronic check,94.65,4812.75,t
4829-AUOAX,f,f,f,f,46,t,t,Fiber optic,t,No,No,No,No,Yes,Yes,Month-to-month,f,Bank transfer (automatic),96.05,4399.50,t
1219-NNDDO,f,f,f,f,9,t,t,Fiber optic,t,No,No,No,No,No,No,Month-to-month,t,Electronic check,76.85,663.55,f
8388-DMKAE,f,f,f,f,8,t,f,No,f,,,,,,,Two year,f,Mailed check,20.25,174.65,f
4403-BWPAY,t,f,f,f,14,t,t,No,f,,,,,,,One year,t,Credit card (automatic),24.80,321.70,f
9659-QEQSY,f,f,f,f,45,t,t,Fiber optic,t,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,t,Electronic check,115.65,5125.50,f
5405-ZMYXQ,f,f,f,f,8,t,t,Fiber optic,t,No,No,No,No,No,No,Month-to-month,t,Credit card (automatic),74.60,548.90,f
5047-LHVLY,t,t,f,t,1,t,f,DSL,t,No,No,Yes,No,No,No,Month-to-month,t,Mailed check,50.15,50.15,t
1442-OKRJE,t,f,t,t,66,t,f,Fiber optic,t,Yes,Yes,Yes,No,Yes,Yes,One year,t,Bank transfer (automatic),103.15,7031.30,f
4737-AQCPU,t,f,t,t,72,t,t,DSL,t,Yes,Yes,Yes,Yes,No,No,Two year,f,Credit card (automatic),72.10,5016.65,f
9158-VCTQB,f,f,t,f,41,t,t,Fiber optic,t,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,t,Bank transfer (automatic),113.60,4594.95,t
2808-CHTDM,f,f,t,t,23,t,t,No,f,,,,,,,Two year,f,Mailed check,25.10,611.45,f
6311-UEUME,f,f,f,f,29,t,f,Fiber optic,t,No,No,No,No,Yes,No,Month-to-month,t,Electronic check,78.90,2384.15,t
0793-TWELN,f,f,f,f,4,t,t,Fiber optic,t,Yes,No,No,No,No,No,Month-to-month,t,Electronic check,80.15,319.85,f
3283-WCWXT,t,f,t,t,6,t,t,No,f,,,,,,,Two year,f,Mailed check,25.40,153.30,f
1060-ENTOF,f,t,t,f,67,t,t,Fiber optic,t,Yes,Yes,Yes,Yes,No,Yes,One year,t,Credit card (automatic),105.40,7035.60,f
0999-QXNSA,t,t,f,t,7,t,f,DSL,t,No,No,No,No,No,No,Month-to-month,t,Mailed check,45.75,344.20,f
5451-MHQOF,t,f,t,t,56,t,t,No,f,,,,,,,One year,t,Mailed check,24.45,1431.65,f
4836-WNFNO,f,f,t,f,72,t,t,No,f,,,,,,,Two year,f,Credit card (automatic),25.00,1849.20,f
9225-BZLNZ,t,f,t,f,72,t,t,DSL,t,Yes,Yes,Yes,No,Yes,Yes,Two year,t,Electronic check,85.25,6083.10,f
0354-VXMJC,t,f,t,t,23,t,f,No,f,,,,,,,Two year,f,Credit card (automatic),19.60,426.65,f
4422-QVIJA,f,f,f,t,35,t,t,DSL,t,No,No,No,No,No,No,Month-to-month,f,Mailed check,50.15,1655.35,f
9365-SRSZE,t,t,t,f,27,t,f,Fiber optic,t,No,No,No,No,No,No,Month-to-month,t,Electronic check,70.55,1943.90,f
6839-ITVZJ,f,f,t,t,26,t,t,DSL,t,No,Yes,No,Yes,No,No,Month-to-month,t,Electronic check,60.05,1616.15,t
8332-OSJDW,t,f,t,t,12,t,t,No,f,,,,,,,One year,f,Mailed check,26.40,314.95,f
4735-BJKOU,f,f,f,f,40,t,f,No,f,,,,,,,Two year,f,Mailed check,20.15,804.85,f
0274-JKUJR,t,f,t,t,7,f,,DSL,t,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,f,Mailed check,58.85,465.70,f
5740-YHGTW,t,f,t,t,70,t,t,Fiber optic,t,Yes,Yes,No,No,Yes,No,Month-to-month,t,Credit card (automatic),97.55,6669.05,f
8917-SZTTJ,t,f,t,t,60,t,f,No,f,,,,,,,Two year,f,Credit card (automatic),19.65,1161.75,f
1696-MZVAU,t,f,t,t,39,f,,DSL,t,No,No,No,No,No,No,One year,t,Credit card (automatic),25.25,947.75,f
7359-WWYJV,t,f,t,f,72,t,t,Fiber optic,t,Yes,Yes,Yes,Yes,Yes,Yes,Two year,f,Credit card (automatic),114.45,8375.05,f
0375-HVGXO,f,f,f,f,1,f,,DSL,t,No,No,No,No,Yes,No,Month-to-month,t,Electronic check,34.70,34.70,t
4906-ZHGPK,t,f,t,t,54,t,t,DSL,t,No,Yes,No,Yes,Yes,No,One year,t,Electronic check,70.70,3770.00,f
8593-WHYHV,t,f,f,f,3,t,t,Fiber optic,t,No,No,No,No,No,Yes,Month-to-month,t,Electronic check,85.30,264.80,t
3795-GWTRD,f,f,t,t,63,t,f,DSL,t,Yes,Yes,Yes,Yes,Yes,No,Two year,f,Credit card (automatic),75.55,4707.85,f
1298-PHBTI,t,f,t,t,71,t,t,Fiber optic,t,No,Yes,No,Yes,No,No,Two year,t,Electronic check,84.80,6152.40,f
6223-DHJGV,f,f,f,f,42,t,f,No,f,,,,,,,One year,t,Mailed check,20.65,958.10,f
6961-MJKBO,t,f,f,f,47,t,f,No,f,,,,,,,Two year,f,Bank transfer (automatic),20.45,943.00,f
6097-EQISJ,f,f,t,t,66,t,t,Fiber optic,t,No,Yes,Yes,No,Yes,Yes,One year,t,Credit card (automatic),102.45,6615.15,t
4423-YLHDV,f,f,t,f,21,t,t,Fiber optic,t,Yes,No,Yes,No,Yes,Yes,Month-to-month,t,Bank transfer (automatic),104.40,2200.25,t
8158-WPEZG,t,f,f,f,11,f,,DSL,t,No,Yes,No,Yes,No,No,Month-to-month,t,Electronic check,35.65,425.10,f
0107-YHINA,t,f,f,t,1,t,t,Fiber optic,t,No,No,Yes,No,Yes,Yes,Month-to-month,t,Electronic check,99.75,99.75,t
4918-FYJNT,f,t,t,f,55,t,t,Fiber optic,t,No,Yes,Yes,Yes,No,No,Month-to-month,f,Electronic check,90.45,5044.80,f
0727-BNRLG,t,f,f,f,69,t,t,Fiber optic,t,No,Yes,Yes,Yes,Yes,No,Two year,t,Credit card (automatic),97.65,6743.55,f
4854-CIDCF,f,t,f,f,3,t,f,Fiber optic,t,No,No,Yes,No,No,No,Month-to-month,f,Electronic check,73.85,196.40,f
8640-SDGKB,t,f,f,f,4,t,f,DSL,t,No,No,Yes,Yes,Yes,Yes,Month-to-month,t,Electronic check,74.40,299.70,t
3280-MRDOF,t,t,f,f,30,t,t,DSL,t,No,No,Yes,Yes,Yes,No,Two year,t,Credit card (automatic),69.10,2093.90,f
6435-SRWBJ,f,f,f,f,5,t,t,Fiber optic,t,No,No,Yes,Yes,No,No,Month-to-month,t,Electronic check,82.75,417.75,f
9964-WBQDJ,f,f,t,f,71,t,t,No,f,,,,,,,Two year,t,Credit card (automatic),24.40,1725.40,f
6303-KFWSL,f,f,f,f,29,t,t,DSL,t,No,Yes,No,No,No,No,One year,t,Electronic check,55.25,1620.20,f
1702-CCFNJ,t,f,t,f,52,t,t,DSL,t,No,Yes,No,Yes,No,No,Month-to-month,f,Bank transfer (automatic),61.35,3169.55,f
8932-CZHRQ,t,f,f,f,68,t,t,DSL,t,Yes,Yes,Yes,No,No,Yes,One year,f,Credit card (automatic),76.75,5233.25,f
0386-CWRGM,f,f,t,t,46,t,f,No,f,,,,,,,Two year,f,Mailed check,19.40,967.85,f
5515-RUGKN,t,f,f,f,8,t,f,DSL,t,No,No,No,No,No,Yes,Month-to-month,t,Credit card (automatic),54.75,438.05,f
0404-AHASP,t,f,t,f,72,t,f,No,f,,,,,,,Two year,f,Credit card (automatic),19.70,1421.90,f
7279-NMVJC,f,f,f,f,17,t,f,No,f,,,,,,,One year,f,Bank transfer (automatic),19.90,323.15,f
2081-VEYEH,t,f,f,f,3,t,f,Fiber optic,t,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,t,Electronic check,107.95,318.60,f
6407-UTSLV,f,t,f,f,2,t,f,Fiber optic,t,No,Yes,No,No,Yes,No,Month-to-month,t,Bank transfer (automatic),83.80,163.70,f
4116-TZAQJ,f,f,f,f,9,t,f,Fiber optic,t,Yes,No,No,No,No,No,Month-to-month,t,Credit card (automatic),74.25,639.65,t
9060-HJJRW,f,f,f,f,51,f,,DSL,t,No,Yes,Yes,No,Yes,Yes,One year,t,Credit card (automatic),56.40,2928.50,f
2587-YNLES,f,f,t,t,6,t,f,No,f,,,,,,,Two year,f,Mailed check,20.10,100.35,f
7398-SKNQZ,f,f,t,f,3,t,t,Fiber optic,t,No,No,No,No,Yes,Yes,Month-to-month,f,Electronic check,94.90,273.20,f
5935-FCCNB,f,t,f,f,17,t,t,Fiber optic,t,No,No,No,No,Yes,Yes,Month-to-month,t,Electronic check,94.20,1608.15,f
1958-RNRKS,t,f,t,f,30,t,t,DSL,t,No,No,No,No,No,No,Month-to-month,f,Electronic check,49.90,1441.95,f
5136-RGMZO,t,f,f,f,31,t,t,DSL,t,No,Yes,No,Yes,Yes,No,Month-to-month,t,Electronic check,71.05,2168.15,f
8345-MVDYC,f,f,f,f,45,t,f,DSL,t,Yes,No,Yes,Yes,Yes,Yes,Two year,f,Bank transfer (automatic),81.65,3618.70,f
8226-BXGES,t,f,t,f,64,t,t,Fiber optic,t,Yes,Yes,Yes,No,No,No,One year,f,Bank transfer (automatic),89.45,5692.65,f
3877-JRJIP,t,f,f,f,1,t,t,DSL,t,No,No,No,No,Yes,No,Month-to-month,t,Electronic check,59.85,59.85,t
8375-DKEBR,f,t,f,f,1,t,f,Fiber optic,t,No,No,No,No,No,No,Month-to-month,t,Electronic check,69.60,69.60,t
9705-IOVQQ,t,t,t,t,61,t,t,Fiber optic,t,No,Yes,No,No,Yes,Yes,One year,f,Electronic check,99.00,5969.30,f
1015-OWJKI,t,f,f,f,1,t,f,No,f,,,,,,,Month-to-month,f,Mailed check,19.05,19.05,f
7511-YMXVQ,t,f,f,f,9,f,,DSL,t,No,No,No,No,Yes,Yes,Month-to-month,t,Electronic check,45.40,418.80,t
2040-XBAVJ,t,f,t,t,72,t,t,Fiber optic,t,Yes,Yes,Yes,Yes,Yes,Yes,Two year,f,Bank transfer (automatic),114.45,8100.55,f
7551-JOHTI,f,f,f,f,1,t,f,No,f,,,,,,,Month-to-month,f,Mailed check,19.50,19.50,t
8887-IPQNC,f,f,t,f,7,t,f,DSL,t,No,No,No,No,No,No,Month-to-month,t,Mailed check,44.25,313.45,f
8646-JCOMS,f,f,t,f,66,t,t,Fiber optic,t,No,Yes,Yes,Yes,No,No,One year,t,Bank transfer (automatic),90.55,6130.95,f
9804-ICWBG,t,f,f,f,1,t,f,Fiber optic,t,No,No,No,No,No,No,Month-to-month,t,Electronic check,69.90,69.90,t
1222-KJNZD,t,f,t,t,40,t,f,No,f,,,,,,,Month-to-month,t,Bank transfer (automatic),20.40,745.30,f
0106-GHRQR,t,f,f,f,16,t,t,DSL,t,No,Yes,Yes,No,No,Yes,Month-to-month,t,Bank transfer (automatic),71.40,1212.10,f
5318-IXUZF,f,f,f,f,2,t,f,Fiber optic,t,No,Yes,No,No,Yes,No,Month-to-month,t,Bank transfer (automatic),87.15,183.75,t
3768-VHXQO,t,f,t,f,67,t,t,No,f,,,,,,,Two year,f,Credit card (automatic),24.85,1583.50,f
8952-WCVCD,f,f,t,f,41,t,f,Fiber optic,t,Yes,Yes,Yes,No,Yes,Yes,One year,t,Bank transfer (automatic),104.45,4162.05,f
3096-IZETN,f,f,f,f,12,t,f,Fiber optic,t,No,No,No,No,No,Yes,Month-to-month,f,Bank transfer (automatic),78.10,947.30,t
2418-TPEUN,f,f,t,t,56,t,f,No,f,,,,,,,Two year,t,Credit card (automatic),19.80,1119.90,f
3963-RYFNS,f,f,f,f,72,t,t,Fiber optic,t,Yes,Yes,Yes,Yes,Yes,Yes,Two year,t,Bank transfer (automatic),116.45,8013.55,f
3198-VELRD,f,f,t,t,3,t,t,Fiber optic,t,No,No,No,No,No,Yes,Month-to-month,t,Bank transfer (automatic),84.75,264.85,t
8540-ZQGEA,f,f,t,f,54,t,f,No,f,,,,,,,Two year,f,Credit card (automatic),20.05,1102.40,f
1320-REHCS,t,t,f,f,52,t,t,Fiber optic,t,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,t,Electronic check,110.75,5832.00,f
4137-JOPHL,f,f,f,f,50,t,f,Fiber optic,t,No,No,Yes,Yes,No,Yes,Two year,t,Bank transfer (automatic),89.70,4304.50,f
9436-ZBZCT,t,f,f,f,14,t,t,Fiber optic,t,No,No,No,Yes,Yes,No,Month-to-month,t,Electronic check,89.95,1178.40,t
7801-CEDNV,t,f,t,f,27,t,f,DSL,t,Yes,No,No,No,No,No,One year,f,Credit card (automatic),48.70,1421.75,f
2057-BOYKM,f,t,t,f,72,t,t,Fiber optic,t,Yes,Yes,Yes,Yes,No,No,Two year,t,Bank transfer (automatic),96.60,6827.50,f
3658-QQJYD,t,f,f,f,62,t,f,DSL,t,Yes,Yes,No,No,Yes,Yes,One year,t,Credit card (automatic),74.30,4698.05,f
1803-BGNBD,f,f,f,f,12,t,f,DSL,t,No,Yes,No,Yes,No,No,Month-to-month,t,Electronic check,54.30,654.50,f
0134-XWXCE,f,t,f,f,44,t,f,DSL,t,No,No,Yes,Yes,Yes,Yes,One year,f,Bank transfer (automatic),74.85,3268.05,f
6950-TWMYB,t,f,t,t,54,t,f,Fiber optic,t,No,Yes,No,Yes,No,No,Two year,t,Bank transfer (automatic),79.95,4362.05,f
5848-FHRFC,f,f,f,f,68,t,f,No,f,,,,,,,Two year,f,Bank transfer (automatic),20.05,1386.90,f
2243-FNMMI,t,f,f,f,20,t,f,No,f,,,,,,,Month-to-month,f,Mailed check,19.40,415.40,f
2511-MORQY,t,f,t,t,50,t,t,DSL,t,No,No,Yes,No,No,No,One year,f,Bank transfer (automatic),54.90,2614.10,f
5356-KZCKT,t,f,f,f,58,t,t,No,f,,,,,,,Two year,t,Credit card (automatic),24.45,1513.60,f
9470-XCCEM,t,f,t,t,35,t,t,Fiber optic,t,No,Yes,No,No,Yes,No,Month-to-month,t,Bank transfer (automatic),89.65,3161.60,f
6519-CFDBX,f,f,f,f,2,t,f,DSL,t,No,No,No,No,No,No,Month-to-month,t,Electronic check,45.40,80.95,f
3902-MIVLE,t,f,t,t,63,t,t,DSL,t,Yes,No,Yes,Yes,No,Yes,Two year,f,Mailed check,75.70,4676.70,f
0409-WTMPL,f,f,t,f,58,t,t,Fiber optic,t,Yes,Yes,Yes,No,Yes,Yes,One year,t,Credit card (automatic),110.65,6526.65,f
8763-KIAFH,f,f,t,t,27,t,f,No,f,,,,,,,One year,t,Mailed check,20.55,583.30,f
3669-WHAFY,f,f,t,f,71,t,t,Fiber optic,t,Yes,Yes,Yes,Yes,Yes,Yes,Two year,t,Credit card (automatic),115.15,8078.10,f
3055-VTCGS,f,f,f,f,63,t,f,DSL,t,No,No,Yes,No,No,Yes,One year,f,Credit card (automatic),58.55,3503.50,f
3144-KMTWZ,t,f,t,f,71,t,t,Fiber optic,t,No,Yes,Yes,No,No,Yes,Month-to-month,t,Bank transfer (automatic),93.25,6669.45,f
7279-BUYWN,f,t,f,f,41,t,t,Fiber optic,t,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,t,Electronic check,113.20,4689.50,t
7156-MHUGY,t,t,f,f,13,t,f,Fiber optic,t,No,No,No,No,Yes,Yes,Month-to-month,t,Electronic check,90.50,1201.15,t
7198-GLXTC,t,f,f,f,2,t,f,Fiber optic,t,No,No,No,No,Yes,No,Month-to-month,f,Electronic check,79.00,143.65,t
2007-QVGAW,f,f,t,t,68,t,f,No,f,,,,,,,Two year,t,Bank transfer (automatic),19.35,1292.65,f
5207-PLSTK,t,f,t,t,1,t,f,DSL,t,Yes,No,No,No,No,No,Month-to-month,t,Mailed check,48.75,48.75,f
2307-FYNNL,t,t,f,f,65,t,t,Fiber optic,t,Yes,No,Yes,Yes,Yes,Yes,Two year,t,Electronic check,109.05,7108.20,f
5605-XNWEN,t,t,t,f,72,t,t,No,f,,,,,,,Two year,t,Bank transfer (automatic),25.00,1802.55,f
2155-AMQRX,f,f,f,f,28,t,t,DSL,t,No,No,No,Yes,No,No,Month-to-month,t,Credit card (automatic),54.90,1505.15,f
6181-AXXYF,t,f,t,t,72,t,t,No,f,,,,,,,Two year,f,Credit card (automatic),24.75,1859.10,f
5091-HFAZW,f,f,f,f,2,t,f,Fiber optic,t,Yes,Yes,No,No,Yes,No,Month-to-month,t,Electronic check,91.15,168.50,f
0516-VRYBW,f,f,f,t,18,t,f,No,f,,,,,,,One year,f,Bank transfer (automatic),20.15,390.85,t
2519-LBNQL,t,t,t,f,60,t,t,Fiber optic,t,No,Yes,Yes,No,Yes,Yes,One year,t,Electronic check,104.35,6339.45,f
8623-ULFNQ,f,t,f,f,26,t,t,DSL,t,No,No,No,Yes,No,Yes,Month-to-month,t,Electronic check,66.05,1652.40,f
8380-PEFPE,t,f,f,t,1,t,f,Fiber optic,t,No,No,No,No,No,No,Month-to-month,t,Electronic check,71.65,71.65,t
5687-DKDTV,f,f,f,f,4,t,f,No,f,,,,,,,Month-to-month,f,Mailed check,20.35,77.50,t
1568-LJSZU,t,f,t,t,68,t,t,DSL,t,Yes,Yes,Yes,Yes,Yes,Yes,Two year,t,Credit card (automatic),92.20,6392.85,f
7530-HDYDS,f,f,f,f,38,t,f,Fiber optic,t,No,Yes,Yes,Yes,No,No,Month-to-month,t,Credit card (automatic),84.25,3264.50,t
7789-HKSBS,f,t,t,f,42,t,t,Fiber optic,t,Yes,No,Yes,No,Yes,Yes,One year,t,Bank transfer (automatic),105.20,4599.15,f
7416-CKTEP,f,f,t,f,57,t,f,No,f,,,,,,,Two year,t,Bank transfer (automatic),19.60,1134.25,f
2586-CWXVV,t,f,t,f,54,f,,DSL,t,No,Yes,No,No,No,No,Month-to-month,f,Electronic check,30.40,1621.35,f
2348-KCJLT,f,f,t,f,44,t,f,DSL,t,Yes,Yes,Yes,No,No,No,One year,t,Mailed check,61.50,2722.20,f
8401-EMUWF,t,f,t,t,42,t,t,DSL,t,Yes,Yes,No,No,Yes,No,Month-to-month,t,Bank transfer (automatic),69.40,3058.30,f
4193-IBKSW,t,f,t,t,72,t,t,No,f,,,,,,,Two year,f,Bank transfer (automatic),24.75,1769.60,f
5377-NDTOU,f,f,t,t,71,t,t,DSL,t,Yes,Yes,Yes,Yes,Yes,Yes,Two year,f,Mailed check,91.05,6293.75,f
5922-ABDVO,f,f,t,f,19,t,t,Fiber optic,t,No,No,Yes,No,No,Yes,Month-to-month,f,Mailed check,89.65,1761.05,t
2474-LCNUE,f,f,t,f,23,t,t,DSL,t,No,No,No,Yes,Yes,Yes,Month-to-month,t,Credit card (automatic),73.65,1642.75,f
0839-QNXME,f,f,f,f,30,t,f,No,f,,,,,,,Two year,f,Credit card (automatic),19.40,578.50,f
3506-OVLKD,t,f,f,f,35,t,t,No,f,,,,,,,One year,f,Bank transfer (automatic),26.20,954.90,f
9172-ANCRX,f,f,f,f,10,t,t,Fiber optic,t,Yes,No,No,No,Yes,Yes,Month-to-month,t,Electronic check,98.70,973.25,t
6650-VJONK,t,f,f,f,1,t,f,DSL,t,No,No,No,No,No,No,Month-to-month,t,Bank transfer (automatic),43.85,43.85,f
2178-PMGCJ,t,f,f,f,22,t,f,Fiber optic,t,No,No,No,No,No,No,Month-to-month,t,Mailed check,69.70,1490.40,f
7492-TAFJD,t,f,t,t,7,f,,DSL,t,Yes,Yes,Yes,No,No,No,Two year,f,Mailed check,38.55,280.00,f
2773-MADBQ,f,f,f,f,36,f,,DSL,t,Yes,Yes,Yes,Yes,No,Yes,Two year,t,Mailed check,53.10,1901.25,f
6016-LVTJQ,f,f,t,t,34,t,f,No,f,,,,,,,Month-to-month,f,Mailed check,20.65,716.40,f
7860-KSUGX,t,f,t,t,72,t,t,DSL,t,Yes,Yes,Yes,No,No,No,Two year,f,Credit card (automatic),64.45,4720.00,f
8966-KZXXA,t,f,t,t,36,t,t,No,f,,,,,,,Two year,f,Credit card (automatic),25.10,930.95,f
6910-HADCM,f,f,f,f,1,t,f,Fiber optic,t,No,No,Yes,No,No,No,Month-to-month,f,Electronic check,76.35,76.35,t
4816-LXZYW,f,f,f,f,23,t,t,Fiber optic,t,No,Yes,No,No,No,No,Month-to-month,t,Electronic check,79.15,1676.95,t
9606-PBKBQ,t,t,t,f,32,t,t,Fiber optic,t,No,No,No,No,No,Yes,Month-to-month,t,Electronic check,85.00,2642.05,t
5149-QYTTU,f,f,t,t,71,t,t,Fiber optic,t,Yes,Yes,Yes,Yes,No,No,One year,t,Credit card (automatic),95.15,6770.85,f
2070-XYMFH,f,t,f,f,23,t,t,Fiber optic,t,No,No,Yes,No,No,No,Month-to-month,t,Mailed check,79.35,1835.30,f
2085-BOJKI,t,f,t,f,17,t,f,Fiber optic,t,No,No,Yes,No,Yes,Yes,One year,t,Bank transfer (automatic),96.65,1588.25,f
0817-HSUSE,t,f,f,f,1,t,f,DSL,t,No,No,Yes,Yes,Yes,Yes,Month-to-month,t,Electronic check,75.50,75.50,f
5442-PPTJY,t,f,t,t,12,t,f,No,f,,,,,,,Two year,f,Mailed check,19.70,258.35,f
1927-QEWMY,f,f,t,f,72,t,f,No,f,,,,,,,Two year,f,Credit card (automatic),20.50,1502.25,f
1663-MHLHE,t,f,f,f,1,t,f,No,f,,,,,,,Month-to-month,f,Mailed check,19.20,19.20,f
5663-QBGIS,t,t,t,f,72,t,t,Fiber optic,t,No,Yes,No,No,Yes,Yes,Two year,f,Bank transfer (automatic),98.35,6929.40,f
4450-MDZFX,t,f,t,t,60,t,t,Fiber optic,t,No,No,No,No,No,No,Month-to-month,f,Bank transfer (automatic),74.35,4453.30,f
6701-DHKWQ,f,f,t,t,61,f,,DSL,t,No,Yes,Yes,Yes,Yes,No,Two year,f,Credit card (automatic),51.35,3244.40,f
7554-AKDQF,f,f,t,f,6,t,f,DSL,t,No,No,No,No,No,No,Month-to-month,f,Mailed check,45.65,323.45,f
3536-IQCTX,t,t,t,f,32,t,t,Fiber optic,t,No,No,No,No,No,Yes,Month-to-month,f,Electronic check,85.30,2661.10,t
4911-BANWH,f,f,f,t,31,t,t,Fiber optic,t,No,No,No,No,Yes,No,Month-to-month,t,Credit card (automatic),86.55,2697.40,t
8496-EJAUI,t,f,f,f,19,t,f,Fiber optic,t,No,Yes,No,No,No,No,Month-to-month,t,Credit card (automatic),73.85,1424.50,t
0794-YVSGE,t,f,t,t,72,t,f,No,f,,,,,,,Two year,f,Bank transfer (automatic),20.30,1401.15,f
5423-BHIXO,f,f,f,f,32,t,t,DSL,t,No,Yes,No,No,No,No,Month-to-month,t,Electronic check,54.20,1739.60,f
6908-VVYHM,t,f,t,f,65,t,t,Fiber optic,t,No,Yes,No,No,No,Yes,Month-to-month,t,Electronic check,90.65,5931.00,f
2959-EEXWB,f,f,t,t,45,f,,DSL,t,Yes,No,No,No,Yes,Yes,Month-to-month,t,Bank transfer (automatic),50.90,2333.85,f
1839-UMACK,t,f,f,f,42,t,t,No,f,,,,,,,One year,f,Electronic check,25.05,949.85,f
3030-YDNRM,t,f,f,f,8,t,t,Fiber optic,t,No,No,No,No,No,No,Month-to-month,t,Electronic check,74.85,572.45,f
7321-KKSDU,t,f,f,t,32,t,f,No,f,,,,,,,Two year,f,Mailed check,20.50,696.80,f
3402-XRIUO,f,t,t,f,22,t,t,DSL,t,Yes,Yes,No,Yes,No,No,Month-to-month,t,Mailed check,63.55,1381.80,f
3132-TVFDZ,t,t,t,f,57,f,,DSL,t,No,No,No,No,Yes,Yes,Month-to-month,t,Electronic check,44.85,2572.95,t
8286-AFUYI,t,f,f,f,1,t,f,DSL,t,Yes,No,No,No,No,No,Month-to-month,f,Electronic check,47.95,47.95,f
8080-DDEMJ,t,t,f,f,1,t,f,DSL,t,No,No,No,No,No,No,Month-to-month,f,Electronic check,45.10,45.10,t
8356-WUAOJ,f,f,t,f,1,t,f,DSL,t,No,No,No,No,No,No,Month-to-month,t,Electronic check,45.00,45.00,f
6365-MTGZX,t,f,f,f,24,t,f,Fiber optic,t,No,No,No,Yes,Yes,Yes,Month-to-month,t,Electronic check,96.00,2122.45,t
1349-WXNGG,t,f,f,f,1,t,f,No,f,,,,,,,Month-to-month,f,Bank transfer (automatic),20.05,20.05,t
8058-DMYRU,t,t,f,f,54,t,t,Fiber optic,t,No,Yes,No,No,No,Yes,Month-to-month,t,Electronic check,90.05,4931.80,f
9350-ZXYJC,f,f,f,f,4,t,t,No,f,,,,,,,Two year,t,Credit card (automatic),25.30,116.95,f
6990-YNRIO,t,f,t,t,65,t,t,Fiber optic,t,Yes,No,Yes,Yes,Yes,Yes,Two year,f,Bank transfer (automatic),108.65,6937.95,t
8958-JPTRR,f,f,t,f,56,t,t,No,f,,,,,,,One year,f,Electronic check,24.30,1261.70,f
6959-GQEGV,t,f,f,f,45,t,f,DSL,t,Yes,No,Yes,No,Yes,Yes,Month-to-month,t,Electronic check,75.95,3273.80,f
3173-WSSUE,f,f,t,t,71,t,f,No,f,,,,,,,Two year,f,Credit card (automatic),19.70,1415.85,f
1265-HVPZB,t,f,t,f,59,t,f,DSL,t,Yes,Yes,Yes,No,Yes,No,One year,f,Credit card (automatic),66.40,3958.20,f
4115-UMJFQ,t,f,f,f,69,f,,DSL,t,No,Yes,Yes,No,No,No,One year,t,Bank transfer (automatic),35.75,2492.25,f
7369-TRPFD,t,f,f,f,19,t,f,No,f,,,,,,,One year,f,Mailed check,18.80,279.20,f
1098-KFQEC,f,f,t,t,55,t,f,No,f,,,,,,,Two year,f,Credit card (automatic),19.40,1083.00,f
7190-XHTWJ,f,f,f,f,38,t,f,No,f,,,,,,,One year,f,Mailed check,19.30,755.50,f
0621-TWIEM,t,f,f,f,10,t,f,DSL,t,No,No,No,No,No,No,Month-to-month,t,Electronic check,45.55,402.60,t
3537-RYBHH,f,t,t,f,47,t,t,DSL,t,Yes,Yes,Yes,No,No,No,Month-to-month,t,Credit card (automatic),67.45,3252.00,f
